time,CMP2
2016-01-19,1089.90002441406
2016-01-20,1107.09997558594
2016-01-21,1099.09997558594
2016-01-22,1097.19995117188
2016-01-25,1106.19995117188
2016-01-26,1121.69995117188
2016-01-27,1116.09997558594
2016-01-28,1115.59997558594
2016-01-29,1116.40002441406
2016-02-01,1127.90002441406
2016-02-02,1127.30004882813
2016-02-03,1141.30004882813
2016-02-04,1157.59997558594
2016-02-05,1157.80004882813
2016-02-08,1197.90002441406
2016-02-09,1198.69995117188
2016-02-10,1194.69995117188
2016-02-11,1247.90002441406
2016-02-12,1239.09997558594
2016-02-16,1207.90002441406
2016-02-17,1211.09997558594
2016-02-18,1226.09997558594
2016-02-19,1230.40002441406
2016-02-22,1209.5
2016-02-23,1222.30004882813
2016-02-24,1238.69995117188
2016-02-25,1238.19995117188
2016-02-26,1219.80004882813
2016-02-29,1233.90002441406
2016-03-01,1230.30004882813
2016-03-02,1241.09997558594
2016-03-03,1257.40002441406
2016-03-04,1269.90002441406
2016-03-07,1263.19995117188
2016-03-08,1262.09997558594
2016-03-09,1256.59997558594
2016-03-10,1272
2016-03-11,1258.69995117188
2016-03-14,1244.40002441406
2016-03-15,1230.40002441406
2016-03-16,1229.30004882813
2016-03-17,1264.5
2016-03-18,1253.80004882813
2016-03-21,1243.80004882813
2016-03-22,1248.19995117188
2016-03-23,1223.69995117188
2016-03-24,1221.40002441406
2016-03-28,1219.90002441406
2016-03-29,1235.59997558594
2016-03-30,1226.90002441406
2016-03-31,1234.19995117188
2016-04-01,1222.19995117188
2016-04-04,1218
2016-04-05,1228.40002441406
2016-04-06,1222.5
2016-04-07,1236.19995117188
2016-04-08,1242.5
2016-04-11,1256.69995117188
2016-04-12,1259.40002441406
2016-04-13,1246.80004882813
2016-04-14,1225
2016-04-15,1233.09997558594
2016-04-18,1233.59997558594
2016-04-19,1253
2016-04-20,1253.19995117188
2016-04-21,1249
2016-04-22,1228.69995117188
2016-04-25,1238.90002441406
2016-04-26,1242.19995117188
2016-04-27,1249.19995117188
2016-04-28,1265.5
2016-04-29,1289.19995117188
2016-05-02,1294.69995117188
2016-05-03,1290.69995117188
2016-05-04,1273.30004882813
2016-05-05,1271.40002441406
2016-05-06,1292.90002441406
2016-05-09,1265.59997558594
2016-05-10,1263.90002441406
2016-05-11,1274.59997558594
2016-05-12,1270.30004882813
2016-05-13,1271.90002441406
2016-05-16,1273.40002441406
2016-05-17,1276.19995117188
2016-05-18,1273.69995117188
2016-05-19,1254.19995117188
2016-05-20,1252.40002441406
2016-05-23,1251.09997558594
2016-05-24,1228.90002441406
2016-05-25,1223.5
2016-05-26,1220.09997558594
2016-05-27,1213.80004882813
2016-05-31,1214.80004882813
2016-06-01,1211.90002441406
2016-06-02,1209.80004882813
2016-06-03,1240.09997558594
2016-06-06,1244.59997558594
2016-06-07,1244.40002441406
2016-06-08,1259.80004882813
2016-06-09,1270.19995117188
2016-06-10,1273.40002441406
2016-06-13,1284.40002441406
2016-06-14,1285.59997558594
2016-06-15,1285.80004882813
2016-06-16,1296.09997558594
2016-06-17,1292.5
2016-06-20,1290
2016-06-21,1270.5
2016-06-22,1268
2016-06-23,1261.19995117188
2016-06-24,1320
2016-06-27,1322.5
2016-06-28,1315.30004882813
2016-06-29,1323.90002441406
2016-06-30,1318.40002441406
2016-07-01,1336.69995117188
2016-07-05,1356.40002441406
2016-07-06,1364.90002441406
2016-07-07,1360.09997558594
2016-07-08,1356.59997558594
2016-07-11,1355
2016-07-12,1334.09997558594
2016-07-13,1342.40002441406
2016-07-14,1331.30004882813
2016-07-15,1326.5
2016-07-18,1328.40002441406
2016-07-19,1331.5
2016-07-20,1318.80004882813
2016-07-21,1330.5
2016-07-22,1323.09997558594
2016-07-25,1319.30004882813
2016-07-26,1320.69995117188
2016-07-27,1326.59997558594
2016-07-28,1332.30004882813
2016-07-29,1349
2016-08-01,1351.40002441406
2016-08-02,1364.40002441406
2016-08-03,1356.09997558594
2016-08-04,1358.80004882813
2016-08-05,1336.40002441406
2016-08-08,1333.40002441406
2016-08-09,1339
2016-08-10,1344.30004882813
2016-08-11,1342.5
2016-08-12,1335.80004882813
2016-08-15,1340.30004882813
2016-08-16,1350.5
2016-08-17,1342.69995117188
2016-08-18,1351.19995117188
2016-08-19,1340.40002441406
2016-08-22,1337.69995117188
2016-08-23,1340.59997558594
2016-08-24,1324.40002441406
2016-08-25,1320.09997558594
2016-08-26,1321.5
2016-08-29,1322.90002441406
2016-08-30,1311.69995117188
2016-08-31,1306.90002441406
2016-09-01,1312.19995117188
2016-09-02,1322.09997558594
2016-09-06,1349.40002441406
2016-09-07,1344.30004882813
2016-09-08,1336.80004882813
2016-09-09,1330.09997558594
2016-09-12,1321
2016-09-13,1319
2016-09-14,1321.5
2016-09-15,1313.5
2016-09-16,1305.80004882813
2016-09-19,1313.5
2016-09-20,1313.69995117188
2016-09-21,1326.90002441406
2016-09-22,1340.40002441406
2016-09-23,1337.19995117188
2016-09-26,1339.69995117188
2016-09-27,1325.90002441406
2016-09-28,1319.40002441406
2016-09-29,1321.69995117188
2016-09-30,1313.30004882813
2016-10-03,1309
2016-10-04,1266.30004882813
2016-10-05,1265.19995117188
2016-10-06,1249.80004882813
2016-10-07,1248.90002441406
2016-10-11,1253
2016-10-12,1251.09997558594
2016-10-13,1255
2016-10-14,1253.09997558594
2016-10-17,1254.40002441406
2016-10-18,1260.80004882813
2016-10-19,1267.90002441406
2016-10-20,1265.59997558594
2016-10-21,1265.90002441406
2016-10-24,1262
2016-10-25,1271.90002441406
2016-10-26,1264.80004882813
2016-10-27,1267.90002441406
2016-10-28,1275.5
2016-10-31,1271.5
2016-11-01,1286.40002441406
2016-11-02,1306.80004882813
2016-11-03,1302.09997558594
2016-11-04,1303.30004882813
2016-11-07,1278.30004882813
2016-11-08,1273.40002441406
2016-11-09,1272.59997558594
2016-11-10,1265.5
2016-11-14,1221.19995117188
2016-11-15,1224
2016-11-16,1223.40002441406
2016-11-17,1216.5
2016-11-18,1208.5
2016-11-21,1209.59997558594
2016-11-22,1211
2016-11-23,1189.09997558594
2016-11-25,1178.19995117188
2016-11-28,1190.59997558594
2016-11-29,1187.90002441406
2016-11-30,1170.80004882813
2016-12-01,1166.90002441406
2016-12-02,1175.09997558594
2016-12-05,1174
2016-12-06,1167.59997558594
2016-12-07,1175
2016-12-08,1169.80004882813
2016-12-09,1159.40002441406
2016-12-12,1163.5
2016-12-13,1156.69995117188
2016-12-14,1161.30004882813
2016-12-15,1127.80004882813
2016-12-16,1135.30004882813
2016-12-19,1140.5
2016-12-20,1131.5
2016-12-21,1131.09997558594
2016-12-22,1128.80004882813
2016-12-23,1131.90002441406
2016-12-27,1137.30004882813
2016-12-28,1139.40002441406
2016-12-29,1156.40002441406
2016-12-30,1150
2017-01-03,1160.40002441406
2017-01-04,1163.80004882813
2017-01-05,1179.69995117188
2017-01-06,1171.90002441406
2017-01-09,1183.5
2017-01-10,1184.19995117188
2017-01-11,1195.59997558594
2017-01-12,1198.90002441406
2017-01-13,1195.30004882813
2017-01-17,1212
2017-01-18,1211.30004882813
2017-01-19,1200.90002441406
2017-01-20,1204.30004882813
2017-01-23,1215
2017-01-24,1210.30004882813
2017-01-25,1197.30004882813
2017-01-26,1189.5
2017-01-27,1188.09997558594
2017-01-30,1193.19995117188
2017-01-31,1208.59997558594
2017-02-01,1205.59997558594
2017-02-02,1216.69995117188
2017-02-03,1218.5
2017-02-06,1230
2017-02-07,1234.19995117188
2017-02-08,1237.59997558594
2017-02-09,1235.09997558594
2017-02-10,1234.40002441406
2017-02-13,1224.40002441406
2017-02-14,1223.90002441406
2017-02-15,1231.69995117188
2017-02-16,1240
2017-02-17,1237.59997558594
2017-02-21,1237.5
2017-02-22,1232
2017-02-23,1250.19995117188
2017-02-24,1256.90002441406
2017-02-27,1257.40002441406
2017-02-28,1252.59997558594
2017-03-01,1248.90002441406
2017-03-02,1231.90002441406
2017-03-03,1225.5
2017-03-06,1224.5
2017-03-07,1215.09997558594
2017-03-08,1208.5
2017-03-09,1202.40002441406
2017-03-10,1200.69995117188
2017-03-13,1202.40002441406
