time,CMP4
0,2016-01-18,0.6426463217686696
1,2016-01-19,0.6436858545292281
2,2016-01-20,0.6352652970324593
3,2016-01-21,0.6283013622463163
4,2016-01-26,0.6475100044464207
5,2016-01-27,0.6387481205101074
6,2016-01-28,0.6570485936364145
7,2016-01-29,0.642481307117142
8,2016-02-02,0.6504382781530903
9,2016-02-03,0.6687102633969119
10,2016-02-04,0.6751103215083959
11,2016-02-05,0.6670847824847482
12,2016-02-08,0.6740287234651255
13,2016-02-09,0.6755586350251169
14,2016-02-10,0.6797853309481215
15,2016-02-22,0.6491089555605685
16,2016-02-25,0.6536684323227769
17,2016-02-29,0.644874360684901
18,2016-03-01,0.6251041840306718
19,2016-03-09,0.6298504105274998
20,2016-03-16,0.6454759309197315
21,2016-03-17,0.6493055555555556
22,2016-03-21,0.663754956611689
23,2016-03-23,0.6409010348179063
24,2016-03-24,0.6404616351482603
25,2016-03-29,0.6467632961829417
26,2016-03-30,0.6492000927428704
27,2016-03-31,0.6621283528248094
28,2016-04-04,0.649312834847426
29,2016-04-07,0.6341264762348013
30,2016-04-13,0.6374272376231916
31,2016-04-14,0.6163239444732447
32,2016-04-26,0.6066208330926107
33,2016-04-28,0.6024026463931287
34,2016-05-03,0.6171388268484778
35,2016-05-05,0.6124591693887075
36,2016-05-10,0.6395720681434968
37,2016-05-11,0.6776492580908984
38,2016-05-12,0.6885722593777261
39,2016-05-13,0.6774566473988439
40,2016-05-16,0.6630378134228965
41,2016-05-17,0.6708304418228082
42,2016-05-20,0.6540822766653279
43,2016-05-26,0.6638814170434384
44,2016-06-02,0.6385404789053593
45,2016-06-06,0.6557947884626544
46,2016-06-08,0.6804940573292939
47,2016-06-10,0.6412468368990109
48,2016-06-13,0.6628558230844737
49,2016-06-17,0.6515597070864325
50,2016-06-21,0.6639839034205232
51,2016-06-22,0.6698619853323323
52,2016-06-24,0.630932757346672
53,2016-06-28,0.6263083451202263
54,2016-06-30,0.6059057353776264
55,2016-07-01,0.6063193851409052
56,2016-07-04,0.6165164822630318
57,2016-07-05,0.5804077010192525
58,2016-07-06,0.6042896050839763
59,2016-07-08,0.5847788010622068
60,2016-07-11,0.5851424694708277
61,2016-07-12,0.6049640979250297
62,2016-07-20,0.5806487947735975
63,2016-07-22,0.6049382716049384
64,2016-07-25,0.6154451438848921
65,2016-07-26,0.6458859870822802
66,2016-07-27,0.6394527053768304
67,2016-07-29,0.6455298486146814
68,2016-08-01,0.644940357285543
69,2016-08-02,0.642570281124498
70,2016-08-03,0.6446648426812586
71,2016-08-08,0.6116780045351473
72,2016-08-10,0.64407360841239
73,2016-08-11,0.6417264548456896
74,2016-08-18,0.6565656565656566
75,2016-08-25,0.6472827968155072
76,2016-08-26,0.6296868738908925
77,2016-08-30,0.6038509741369489
78,2016-09-02,0.6269252709640616
79,2016-09-07,0.6495372765419325
80,2016-09-09,0.649552033080634
81,2016-09-12,0.6319296834606768
82,2016-09-13,0.6194791786164965
83,2016-09-14,0.6332681467847694
84,2016-09-19,0.6170370793578245
85,2016-09-21,0.6293626273028952
86,2016-09-26,0.604752862650325
87,2016-09-27,0.602568512785231
88,2016-09-28,0.6028104387725838
89,2016-09-29,0.6082166628414047
90,2016-09-30,0.6066007359705611
91,2016-10-04,0.6014090154075262
92,2016-10-06,0.5985975714041389
93,2016-10-10,0.6037134069939629
94,2016-10-11,0.5933879627013281
95,2016-10-12,0.5897248325924259
96,2016-10-13,0.6021712088657695
97,2016-10-17,0.583834861353282
98,2016-10-18,0.5619491382698029
99,2016-10-19,0.5749382993044648
100,2016-10-20,0.581102978152763
101,2016-10-21,0.5570395102949359
102,2016-10-24,0.5729224607854044
103,2016-10-27,0.5766337957546381
104,2016-10-28,0.5784891884302162
105,2016-11-01,0.5765317657698394
106,2016-11-02,0.5787890824490722
107,2016-11-03,0.5677946854417443
108,2016-11-04,0.5698005698005698
109,2016-11-07,0.5417912974772843
110,2016-11-08,0.4903342163106577
111,2016-11-09,0.4908522980812138
112,2016-11-10,0.47619047619047616
113,2016-11-11,0.49076692729995014
114,2016-11-14,0.4929732103645147
115,2016-11-15,0.48793859649122806
116,2016-11-16,0.48915122697710006
117,2016-11-17,0.49606085302906816
118,2016-11-18,0.4950441423387315
119,2016-11-21,0.4989130434782608
120,2016-11-22,0.47815692240817215
121,2016-11-24,0.47459820947039155
122,2016-11-25,0.4928776471862644
123,2016-11-29,0.490089305162274
124,2016-11-30,0.5143197444642954
125,2016-12-01,0.5451076587626056
126,2016-12-05,0.5558001320713185
127,2016-12-06,0.5725713659525505
128,2016-12-07,0.577240241891149
129,2016-12-08,0.5590230664857531
130,2016-12-09,0.5754696609803497
131,2016-12-12,0.6067195824725453
132,2016-12-13,0.6273764258555133
133,2016-12-14,0.623282874535366
134,2016-12-15,0.5995420904105212
135,2016-12-16,0.6005124372798121
136,2016-12-19,0.6116695920429763
137,2016-12-20,0.6197886239311701
138,2016-12-21,0.6277644551025845
139,2016-12-22,0.6216648879402348
140,2016-12-23,0.6137492655306874
141,2016-12-27,0.6202213548628561
142,2016-12-28,0.612353567625133
143,2016-12-29,0.6275477365372237
144,2016-12-30,0.6398665375094177
145,2017-01-03,0.6325814002979357
146,2017-01-09,0.6464166036104204
147,2017-01-10,0.6421325275199654
148,2017-01-11,0.6421075408417181
149,2017-01-12,0.6454762421349534
150,2017-01-13,0.6469500924214417
151,2017-01-16,0.6370635436998482
152,2017-01-17,0.6463274360519252
153,2017-01-19,0.646093451829235
154,2017-01-20,0.6486190866830736
155,2017-01-24,0.6447895516654777
