time,CMP3
2016-01-18,193.54
2016-01-19,197.65
2016-01-20,192.5
2016-01-21,193.99
2016-01-22,200.3
2016-01-25,199.12
2016-01-26,199.65
2016-01-27,200.64
2016-01-28,199.75
2016-01-29,200.24
2016-02-01,200.98
2016-02-02,198.55
2016-02-03,197.76
2016-02-04,192.57
2016-02-05,194.4
2016-02-08,187.88
2016-02-09,180.71
2016-02-10,186.95
2016-02-11,181.22
2016-02-12,183.16
2016-02-15,190.13
2016-02-16,189.16
2016-02-17,192.88
2016-02-18,196.04
2016-02-19,193.18
2016-02-22,195.94
2016-02-23,195.74
2016-02-24,189.83
2016-02-25,193.36
2016-02-26,196.38
2016-02-29,196.61
2016-03-01,199.5
2016-03-02,200.79
2016-03-03,201.06
2016-03-04,202.35
2016-03-07,200.57
2016-03-08,201.02
2016-03-09,202.58
2016-03-10,204.84
2016-03-11,203.2
2016-03-14,204.6
2016-03-15,202.72
2016-03-16,202.4
2016-03-17,200.32
2016-03-18,202.22
2016-03-21,202.15
2016-03-22,200.84
2016-03-23,202.67
2016-03-24,199.88
2016-03-29,200.13
2016-03-30,203.85
2016-03-31,202.29
2016-04-01,197.9
2016-04-04,201.12
2016-04-05,197.01
2016-04-06,197.78
2016-04-07,198.34
2016-04-08,199.88
2016-04-11,201.04
2016-04-12,200.63
2016-04-13,205.08
2016-04-14,206.21
2016-04-15,205.27
2016-04-18,205.05
2016-04-19,208.7
2016-04-20,208.13
2016-04-21,207.4
2016-04-22,208.12
2016-04-25,206.93
2016-04-26,207.17
2016-04-27,207.17
2016-04-28,205.34
2016-04-29,204.45
2016-05-02,203.78
2016-05-03,200.73
2016-05-04,198.85
2016-05-05,198.68
2016-05-06,197.14
2016-05-09,199.97
2016-05-10,201.1
2016-05-11,200.47
2016-05-12,202.04
2016-05-13,200.46
2016-05-16,200.29
2016-05-17,201.2
2016-05-18,200.92
2016-05-19,202.07
2016-05-20,203.16
2016-05-23,202.81
2016-05-24,206.2
2016-05-25,209.61
2016-05-26,209.78
2016-05-27,210.06
2016-05-30,210.76
2016-05-31,210.64
2016-06-01,207.69
2016-06-02,208.25
2016-06-03,207.87
2016-06-06,207.21
2016-06-07,209.31
2016-06-08,208.71
2016-06-09,206.54
2016-06-10,201.93
2016-06-13,198.27
2016-06-14,195.14
2016-06-15,196.06
2016-06-16,193.42
2016-06-17,196.38
2016-06-20,203.4
2016-06-21,204.05
2016-06-22,205.13
2016-06-23,207.78
2016-06-24,195.04
2016-06-27,188.18
2016-06-28,191.9
2016-06-29,194.86
2016-06-30,196.44
2016-07-01,199.42
2016-07-04,198.16
2016-07-05,195.25
2016-07-06,191.68
2016-07-07,194.68
2016-07-08,196.84
2016-07-11,199.76
2016-07-12,201.87
2016-07-13,202.77
2016-07-14,204.23
2016-07-15,203.26
2016-07-18,203.8
2016-07-19,203.42
2016-07-20,205.85
2016-07-21,205.77
2016-07-22,206.09
2016-07-25,207.01
2016-07-26,206.9
2016-07-27,208.27
2016-07-28,206.02
2016-07-29,205.22
2016-08-01,205.08
2016-08-02,204.29
2016-08-03,202.89
2016-08-04,203.94
2016-08-05,206.03
2016-08-08,206.74
2016-08-09,208.49
2016-08-10,209.15
2016-08-11,210.32
2016-08-12,210.92
2016-08-15,211.31
2016-08-16,209.84
2016-08-17,208.38
2016-08-18,208.8
2016-08-19,208.16
2016-08-22,207.31
2016-08-23,209.35
2016-08-24,211
2016-08-25,208.93
2016-08-26,209.29
2016-08-29,209.61
2016-08-30,211.16
2016-08-31,210.84
2016-09-01,211.24
2016-09-02,212.16
2016-09-05,214.35
2016-09-06,214.13
2016-09-07,213.69
2016-09-08,212.08
2016-09-09,210.99
2016-09-12,206.52
2016-09-13,207.84
2016-09-14,207.02
2016-09-15,206.28
2016-09-16,206.53
2016-09-19,207.91
2016-09-20,209.11
2016-09-21,208.98
2016-09-22,212.02
2016-09-23,210.29
2016-09-26,207.33
2016-09-27,206.12
2016-09-28,208.65
2016-09-29,209.21
2016-09-30,207.54
2016-10-03,208.67
2016-10-04,210.83
2016-10-05,209.35
2016-10-06,209.29
2016-10-07,207.57
2016-10-10,207.88
2016-10-11,208.44
2016-10-12,206.35
2016-10-13,203.53
2016-10-14,207.27
2016-10-17,205.89
2016-10-18,208.31
2016-10-19,208.44
2016-10-20,207.1
2016-10-21,208.06
2016-10-24,208.25
2016-10-25,207.76
2016-10-26,205.16
2016-10-27,205.46
2016-10-28,204.69
2016-10-31,203.97
2016-11-01,202.33
2016-11-02,199.88
2016-11-03,199.76
2016-11-04,196.7
2016-11-07,199.72
2016-11-08,199.68
2016-11-09,199.26
2016-11-10,203.61
2016-11-11,201.9
2016-11-14,201.99
2016-11-15,202.16
2016-11-16,201.42
2016-11-17,201.9
2016-11-18,203.22
2016-11-21,203.21
2016-11-22,204.11
2016-11-23,203.6
2016-11-24,204.25
2016-11-25,204.92
2016-11-28,203.91
2016-11-29,203.78
2016-11-30,205.58
2016-12-01,204.82
2016-12-02,202.78
2016-12-05,204.57
2016-12-06,205.06
2016-12-07,207.07
2016-12-08,209.68
2016-12-09,210.78
2016-12-12,210.67
2016-12-13,211.92
2016-12-14,212.04
2016-12-15,212.56
2016-12-16,214.18
