Date,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AEP,AMGN,ADI,ANSS,AAPL,AMAT,ASML,TEAM,ADSK,ADP,BIDU,BIIB,BKNG,AVGO,CDNS,CDW,CERN,CHTR,CHKP,CTAS,CSCO,CTSH,CMCSA,CPRT,COST,CSX,DXCM,DOCU,DLTR,EBAY,EA,EXC,FB,FAST,FISV,FOXA,FOX,GILD,IDXX,ILMN,INCY,INTC,INTU,ISRG,JD,KDP,KLAC,KHC,LRCX,LULU,MAR,MRVL,MTCH,MXIM,MELI,MCHP,MU,MSFT,MRNA,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,OKTA,PCAR,PAYX,PYPL,PTON,PEP,PDD,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TSLA,TXN,TCOM,VRSN,VRSK,VRTX,WBA,WDAY,XEL,XLNX,ZM
2014-01-28,15.818016052246094,59.11000061035156,3.5399999618530273,133.00999450683594,57.470001220703125,562.0670776367188,559.408203125,394.42999267578125,37.132781982421875,100.93041229248047,41.093048095703125,79.33000183105469,16.138803482055664,14.91829776763916,80.3620376586914,,51.2400016784668,57.670284271240234,164.24000549316406,305.6499938964844,1162.530029296875,45.23366165161133,14.010000228881836,21.98731231689453,53.8936767578125,136.64999389648438,65.93000030517578,52.111427307128906,17.405052185058594,46.21552658081055,23.394817352294922,17.274999618530273,96.33102416992188,23.41179847717285,37.099998474121094,,51.11000061035156,21.72844123840332,24.83690643310547,21.621286392211914,55.13999938964844,18.28578758239746,28.389999389648438,,,67.90716552734375,56.55500030517578,144.52999877929688,65.31999969482422,20.482776641845703,68.66566467285156,136.51333618164062,,6.682902812957764,41.16161346435547,,45.97954177856445,46.709999084472656,45.70777893066406,13.435918807983398,18.995452880859375,24.04625701904297,96.26972961425781,38.59031295776367,23.049999237060547,31.361616134643555,,29.486875534057617,22.983333587646484,13.308796882629395,58.11000061035156,14.760223388671875,45.27510070800781,132.05999755859375,,44.04745101928711,33.653053283691406,,,67.12191772460938,,57.41551208496094,278.6700134277344,31.835514068603516,45.189998626708984,3.507678508758545,27.317798614501953,75.2699966430664,32.67173767089844,39.869998931884766,31.70915985107422,35.67599868774414,35.60563278198242,20.1299991607666,59.599998474121094,63.01639938354492,79.30000305175781,47.75905227661133,87.58999633789062,22.50472640991211,39.90352249145508,
2014-01-29,16.026521682739258,58.459999084472656,3.4800000190734863,133.72999572753906,57.7400016784668,554.0140380859375,551.3932495117188,384.20001220703125,37.195316314697266,99.65103149414062,40.88975524902344,78.44999694824219,15.95559024810791,14.900483131408691,79.6275863647461,,49.650001525878906,57.29595184326172,158.10000610351562,305.4599914550781,1133.7900390625,44.69635772705078,14.079999923706055,21.3193416595459,53.059261322021484,138.24000549316406,65.86000061035156,52.029232025146484,17.325029373168945,45.771278381347656,23.267648696899414,17.125,94.52027893066406,23.0674991607666,37.560001373291016,,50.56999969482422,21.33197021484375,25.186437606811523,21.69054412841797,53.529998779296875,18.294065475463867,28.104999542236328,,,67.2168960571289,56.724998474121094,146.6699981689453,65.23999786376953,20.301801681518555,68.38528442382812,138.39999389648438,,6.535545349121094,41.10149002075195,,46.00648498535156,45.68000030517578,44.93525695800781,13.381922721862793,18.416301727294922,23.845335006713867,92.9744873046875,38.21341323852539,22.709999084472656,31.698833465576172,,28.839967727661133,22.59000015258789,13.13602066040039,57.202857971191406,14.618391990661621,45.82782745361328,130.3000030517578,,43.845821380615234,33.43818664550781,,,65.40963745117188,,56.721649169921875,281.5400085449219,31.78385353088379,45.290000915527344,3.4690258502960205,27.399621963500977,73.02999877929688,31.641483306884766,39.9900016784668,30.47258758544922,35.04600143432617,35.43846893310547,19.56999969482422,59.0099983215332,62.838783264160156,78.81999969482422,47.32352066040039,86.19999694824219,22.47280502319336,39.83473587036133,
2014-01-30,16.35823631286621,59.38999938964844,3.4800000190734863,162.0,58.4900016784668,568.2632446289062,565.5750732421875,403.010009765625,37.70334243774414,101.08931732177734,41.41495132446289,78.77999877929688,15.924678802490234,14.94501781463623,79.23712158203125,,51.52000045776367,57.872432708740234,160.80999755859375,318.2799987792969,1160.0,45.5064582824707,14.300000190734863,21.866703033447266,55.23857116699219,138.77000427246094,67.06999969482422,52.65026092529297,17.58910369873047,47.0992317199707,23.763166427612305,17.270000457763672,94.94139099121094,23.63249969482422,39.25,,51.060001373291016,21.736618041992188,25.995361328125,22.306093215942383,61.08000183105469,18.327192306518555,28.389999389648438,,,68.6227035522461,56.880001068115234,150.82000732421875,66.44999694824219,20.35115623474121,69.32916259765625,138.78334045410156,,6.5887579917907715,41.20838165283203,,46.015438079833984,46.81999969482422,45.3491096496582,13.525911331176758,18.667531967163086,24.255220413208008,95.31558227539062,38.855873107910156,23.450000762939453,31.871767044067383,,28.787511825561523,22.889999389648438,13.259928703308105,57.810001373291016,14.864234924316406,46.39994430541992,132.2899932861328,,44.55152130126953,33.92768859863281,,,66.11087036132812,,58.42842102050781,292.9700012207031,31.924779891967773,46.209999084472656,3.478688955307007,27.781435012817383,77.41999816894531,31.796239852905273,40.52000045776367,30.158538818359375,36.56800079345703,35.68084716796875,19.80500030517578,59.439998626708984,63.69729232788086,82.1500015258789,47.96007537841797,89.7699966430664,22.92769432067871,40.221641540527344,
2014-01-31,16.235027313232422,59.189998626708984,3.430000066757202,158.72999572753906,59.41999816894531,591.0760498046875,588.2799682617188,358.69000244140625,38.148834228515625,99.46704864501953,40.88975524902344,78.52999877929688,15.950813293457031,14.980639457702637,78.67930603027344,,51.25,57.34836196899414,156.5,312.6400146484375,1144.8900146484375,45.16753387451172,14.119999885559082,21.95947265625,55.84720230102539,137.0,65.43000030517578,52.12055587768555,17.533084869384766,46.291954040527344,23.877182006835938,17.139999389648438,94.62976837158203,23.75608253479004,40.459999084472656,,50.52000045776367,21.74479103088379,26.3648681640625,22.313791275024414,62.56999969482422,18.1905460357666,28.024999618530273,,,67.89035034179688,57.130001068115234,152.0,65.5199966430664,20.18663787841797,68.45073699951172,135.86000061035156,,6.532815933227539,41.068084716796875,,45.431949615478516,45.689998626708984,45.33992004394531,13.435918807983398,18.522083282470703,24.31951141357422,94.91229248046875,38.427555084228516,23.040000915527344,32.71913528442383,,28.638893127441406,22.633333206176758,13.08366584777832,58.47571563720703,14.845324516296387,46.88479232788086,130.97999572753906,,43.427059173583984,33.558555603027344,,,65.5237808227539,,59.19404983520508,288.5899963378906,31.901294708251953,44.86000061035156,3.4593629837036133,27.499616622924805,77.02999877929688,31.446931838989258,39.86000061035156,30.001514434814453,36.28200149536133,35.43846893310547,19.7549991607666,58.75,63.01639938354492,79.04000091552734,48.03544998168945,89.54000091552734,23.071331024169922,39.91211700439453,
2014-02-03,16.168685913085938,58.09000015258789,3.3299999237060547,154.6699981689453,54.959999084472656,567.2822875976562,564.5987548828125,346.1499938964844,37.758052825927734,97.62740325927734,40.0341682434082,77.22000122070312,15.980441093444824,14.927200317382812,78.61421966552734,,49.33000183105469,55.46171188354492,150.52000427246094,300.3900146484375,1113.489990234375,44.02677536010742,13.760000228881836,21.412111282348633,54.639747619628906,136.1199951171875,63.43000030517578,50.79631042480469,17.245010375976562,45.46556854248047,23.140474319458008,16.31999969482422,92.79378509521484,22.97039222717285,38.97999954223633,,49.68000030517578,21.413719177246094,26.0452938079834,22.29070472717285,61.47999954223633,17.681230545043945,27.200000762939453,,,66.3582763671875,54.54499816894531,151.00999450683594,63.0,19.7012996673584,66.17060089111328,133.72332763671875,,6.442767143249512,39.90558624267578,,43.60965347290039,44.779998779296875,43.65690612792969,13.00395393371582,17.897981643676758,23.99803924560547,90.584228515625,37.3653564453125,22.809999465942383,31.543197631835938,,28.04443359375,22.31333351135254,12.61769962310791,57.76856994628906,14.646756172180176,44.43146896362305,131.0,,41.8760986328125,32.4190788269043,,,64.06423950195312,,58.47624969482422,283.80999755859375,30.971166610717773,43.29999923706055,3.4303739070892334,26.881446838378906,74.1500015258789,30.49626350402832,38.400001525878906,28.98085594177246,35.422000885009766,34.68622970581055,18.584999084472656,56.279998779296875,61.95066833496094,77.62999725341797,46.5445556640625,87.94000244140625,22.831926345825195,38.70839309692383,
2014-02-04,16.017044067382812,59.720001220703125,3.369999885559082,156.2100067138672,55.22999954223633,569.649658203125,566.9548950195312,347.95001220703125,37.90654754638672,96.8162612915039,40.3984260559082,77.30999755859375,16.21177101135254,14.94501781463623,78.17727661132812,,50.119998931884766,56.11305236816406,155.82000732421875,308.17999267578125,1126.1199951171875,44.646751403808594,13.8100004196167,21.6811580657959,55.56251907348633,138.86000061035156,63.15999984741211,51.07029342651367,17.4450626373291,46.339725494384766,23.469362258911133,16.700000762939453,93.39173889160156,23.261720657348633,38.86000061035156,,50.0099983215332,21.626258850097656,26.14516258239746,22.244539260864258,62.75,18.182266235351562,27.760000228881836,,,69.0435791015625,57.54999923706055,151.58999633789062,62.93000030517578,19.594362258911133,66.26404571533203,136.36666870117188,,6.455046653747559,40.279727935791016,,44.39961242675781,44.97999954223633,44.125938415527344,12.985958099365234,18.207387924194336,23.692636489868164,90.0038833618164,37.3568000793457,23.0,31.430789947509766,,27.983245849609375,22.463333129882812,12.537424087524414,57.987144470214844,14.731857299804688,45.575706481933594,134.49000549316406,,42.69810104370117,32.764137268066406,,,64.26809692382812,,57.83024978637695,287.2300109863281,30.90070343017578,43.900001525878906,3.4013845920562744,27.008716583251953,76.13999938964844,31.35732650756836,39.11000061035156,29.5696964263916,35.74599838256836,34.1763801574707,19.540000915527344,56.099998474121094,61.91120147705078,79.1500015258789,46.862831115722656,88.62000274658203,22.680295944213867,39.08016586303711,
2014-02-05,16.007566452026367,61.0,3.309999942779541,154.49000549316406,54.66999816894531,572.1721801757812,569.4655151367188,346.45001220703125,37.4766845703125,96.22254943847656,40.53396224975586,77.66000366210938,16.33285140991211,15.042987823486328,79.17205047607422,,49.959999084472656,55.04994583129883,152.10000610351562,299.92999267578125,1124.010009765625,44.621944427490234,13.739999771118164,21.616209030151367,52.234657287597656,137.35000610351562,63.97999954223633,51.49040222167969,17.58910369873047,44.35256576538086,23.407968521118164,16.545000076293945,93.07172393798828,23.402971267700195,40.0,,49.810001373291016,21.875593185424805,26.125186920166016,22.206064224243164,62.189998626708984,18.331336975097656,27.864999771118164,,,65.7858657836914,58.1150016784668,150.77999877929688,62.2599983215332,19.532085418701172,66.1145248413086,138.36666870117188,,6.490520477294922,40.7072868347168,,44.8394775390625,44.529998779296875,44.04317092895508,13.075950622558594,17.19983673095703,23.66852569580078,91.80396270751953,37.43388748168945,23.309999465942383,30.972509384155273,,28.053180694580078,22.21666717529297,12.493790626525879,57.77428436279297,14.59947681427002,45.575706481933594,134.55999755859375,,44.125,32.691898345947266,,,64.75731658935547,,57.71860122680664,281.8999938964844,31.140283584594727,42.70000076293945,3.314418077468872,27.14507293701172,77.29000091552734,31.286298751831055,38.97999954223633,31.159570693969727,34.88399887084961,34.243247985839844,19.325000762939453,55.52000045776367,61.457279205322266,77.41000366210938,48.454246520996094,88.58999633789062,22.560590744018555,39.088829040527344,
2014-02-06,16.272937774658203,61.34000015258789,3.4100000858306885,157.39999389648438,54.0099983215332,580.560546875,577.814208984375,354.5899963378906,37.595157623291016,97.05876922607422,40.95751190185547,79.62000274658203,16.42805290222168,15.185490608215332,80.7339096069336,,50.959999084472656,55.551551818847656,155.0500030517578,301.010009765625,1138.3399658203125,45.630455017089844,13.729999542236328,21.708986282348633,52.61750411987305,136.5,64.22000122070312,51.572593688964844,17.997222900390625,45.613643646240234,23.69300079345703,16.729999542236328,96.22997283935547,23.862024307250977,38.720001220703125,,50.88999938964844,22.22301483154297,26.424787521362305,22.690818786621094,62.15999984741211,18.364456176757812,27.424999237060547,,,64.39692687988281,58.525001525878906,150.05999755859375,62.58000183105469,19.92238998413086,66.37619018554688,138.26333618164062,,6.530086994171143,41.30859375,,45.826942443847656,45.45000076293945,44.84328842163086,13.156943321228027,17.300323486328125,23.660491943359375,92.45315551757812,37.44247055053711,24.110000610351562,31.283777236938477,,28.58644676208496,22.6733341217041,12.481576919555664,58.272857666015625,14.788591384887695,48.0969123840332,146.72000122070312,,45.466590881347656,32.908565521240234,,,64.73286437988281,,58.4124641418457,287.0299987792969,32.55894470214844,41.650001525878906,3.333743095397949,27.508705139160156,77.68000030517578,32.11628341674805,39.099998474121094,29.0004825592041,35.67599868774414,34.46056365966797,19.334999084472656,55.41999816894531,61.506614685058594,78.16999816894531,49.601741790771484,90.69999694824219,22.71221923828125,39.244449615478516,
2014-02-07,18.613889694213867,62.880001068115234,3.4700000286102295,163.6300048828125,55.0099983215332,589.309326171875,586.5215454101562,361.0799865722656,37.93478012084961,99.42524719238281,41.48271942138672,81.0,16.657882690429688,15.301273345947266,81.40328216552734,,51.9900016784668,56.06813049316406,161.13999938964844,315.5400085449219,1195.3900146484375,46.7629508972168,14.010000228881836,21.848146438598633,54.443416595458984,137.5,64.81999969482422,53.0886344909668,18.14126205444336,46.33494186401367,23.960494995117188,16.954999923706055,96.044677734375,24.056236267089844,37.709999084472656,,51.38999938964844,22.312938690185547,27.16380500793457,22.652345657348633,64.31999969482422,18.314769744873047,27.614999771118164,,,66.29093933105469,59.44499969482422,156.89999389648438,65.88999938964844,20.105087280273438,66.7686767578125,139.22666931152344,,6.670623779296875,41.58251190185547,,46.54509353637695,47.380001068115234,45.28472900390625,13.408923149108887,17.710220336914062,23.821229934692383,93.71224212646484,38.06778335571289,24.510000228881836,31.612367630004883,,28.787511825561523,22.823333740234375,12.710197448730469,61.42571258544922,15.006068229675293,50.4726676940918,149.1999969482422,,45.86983871459961,32.820308685302734,,,65.40963745117188,,59.3455810546875,299.7900085449219,32.58244705200195,43.93000030517578,3.3723959922790527,27.699613571166992,79.87999725341797,32.8619384765625,39.77000045776367,29.864118576049805,37.305999755859375,35.06234359741211,19.75,52.68000030517578,61.57569122314453,81.41000366210938,51.05913543701172,92.55999755859375,22.847885131835938,39.85832595825195,
2014-02-10,18.348520278930664,63.779998779296875,3.630000114440918,170.11000061035156,54.9900016784668,587.0520629882812,584.2749633789062,360.8699951171875,38.1085319519043,100.59593200683594,41.694488525390625,80.41999816894531,16.956302642822266,15.363621711730957,81.38469696044922,,52.279998779296875,55.73872375488281,164.24000549316406,317.9599914550781,1207.8199462890625,46.54802322387695,14.229999542236328,21.4677791595459,55.071678161621094,137.6199951171875,64.4800033569336,52.67765426635742,18.269302368164062,45.88114929199219,23.833330154418945,16.969999313354492,95.88463592529297,23.897327423095703,39.72999954223633,,51.33000183105469,21.98185920715332,26.844228744506836,22.621564865112305,63.54999923706055,18.281644821166992,27.389999389648438,,,68.16814422607422,60.439998626708984,161.74000549316406,66.12999725341797,20.171520233154297,66.7686767578125,143.22000122070312,,6.644698619842529,41.64264678955078,,46.32066345214844,47.529998779296875,45.39509582519531,13.3729248046875,17.739315032958984,24.327550888061523,93.37779998779297,38.341896057128906,24.8700008392334,31.81989288330078,,28.9536075592041,23.56333351135254,12.633405685424805,61.49142837524414,15.053348541259766,50.65691375732422,148.19000244140625,,45.358028411865234,32.68388748168945,,,65.71949005126953,,59.56890106201172,304.0,32.474395751953125,44.83000183105469,3.3723959922790527,27.908702850341797,80.9000015258789,33.19926071166992,39.95000076293945,29.510812759399414,39.3120002746582,35.405033111572266,20.360000610351562,53.869998931884766,61.47700881958008,82.16999816894531,50.79948806762695,92.0,22.943653106689453,40.18687438964844,
