Date,AAPL,MSFT,AMZN,FB,GOOG,TSLA,NVDA,GOOGL,PYPL,ADBE,CMCSA,NFLX,INTC,CSCO,PEP,AVGO,TMUS,TXN,COST,QCOM,AMGN,CHTR,INTU,SBUX,AMAT,AMD,ISRG,MU,MRNA,LRCX,ZM,BKNG,MDLZ,GILD,ADP,MELI,ATVI,CSX,FISV,ILMN,JD,ADSK,ADI,REGN,NXPI,ASML,DOCU,IDXX,BIDU,VRTX,BIIB,KDP,KHC,KLAC,ALGN,MNST,PDD,EBAY,MRVL,LULU,WBA,WDAY,MAR,ROST,MTCH,EXC,AEP,SNPS,DXCM,EA,MCHP,ALXN,CTAS,ORLY,PAYX,CDNS,CTSH,XLNX,XEL,TEAM,NTES,PTON,SWKS,CPRT,PCAR,OKTA,ANSS,FAST,SGEN,VRSK,MXIM,SIRI,VRSN,CDW,SPLK,CERN,DLTR,TCOM,INCY,CHKP,FOX
2013-01-02,17.01089859008789,23.07423210144043,257.30999755859375,28.0,360.27459716796875,7.072000026702881,11.76362419128418,361.98699951171875,,38.34000015258789,16.523231506347656,13.144286155700684,16.7075252532959,15.684021949768066,54.1373291015625,25.914230346679688,16.07381820678711,25.7586669921875,84.1948013305664,50.161075592041016,72.14385223388672,78.0999984741211,57.036529541015625,23.804405212402344,10.270088195800781,2.5299999713897705,165.83999633789062,6.630000114440918,,34.613868713378906,,638.4000244140625,22.58588218688965,30.914342880249023,42.20100402832031,80.5064697265625,10.193955421447754,5.762141227722168,20.31999969482422,55.41999816894531,,36.939998626708984,35.887882232666016,181.1999969482422,26.830718994140625,61.321781158447266,,47.025001525878906,104.12000274658203,43.650001525878906,150.0,5.991063594818115,,31.98274040222168,28.399999618530273,18.07666778564453,,21.76896095275879,6.530653953552246,74.0199966430664,30.716997146606445,52.90999984741211,35.1375846862793,25.19071388244629,12.061530113220215,21.727514266967773,32.15029525756836,32.279998779296875,13.850000381469727,14.495382308959961,27.73507308959961,100.05000305175781,37.63934326171875,89.87000274658203,24.58016014099121,14.0,36.22889709472656,31.153554916381836,20.71743392944336,,7.305220603942871,,19.570083618164062,15.229999542236328,34.75899124145508,,70.05000305175781,19.151926040649414,24.139999389648438,52.104705810546875,23.856992721557617,2.903769016265869,39.849998474121094,,29.260000228881836,39.257896423339844,39.900001525878906,11.579999923706055,17.0,49.2400016784668,
2013-01-03,16.79617691040039,22.765125274658203,258.4800109863281,27.770000457763672,360.48382568359375,6.953999996185303,11.772869110107422,362.19720458984375,,37.75,16.338783264160156,13.79857063293457,16.660642623901367,15.768841743469238,54.160762786865234,26.049612045288086,15.957820892333984,25.423824310302734,85.05791473388672,49.92866134643555,71.69066619873047,77.9800033569336,56.84318542480469,23.964548110961914,10.24406909942627,2.490000009536743,167.88999938964844,6.900000095367432,,33.9435920715332,,648.72998046875,22.56047248840332,30.869029998779297,42.36724853515625,80.95655822753906,10.249812126159668,5.816420078277588,20.167499542236328,55.54999923706055,,36.369998931884766,35.30877685546875,180.7100067138672,26.69574546813965,60.03620529174805,,47.0,104.9800033569336,45.150001525878906,147.86000061035156,5.967414379119873,,31.705307006835938,29.170000076293945,17.40333366394043,,21.305879592895508,6.619024753570557,75.08999633789062,30.499094009399414,52.29999923706055,35.41839599609375,27.19893455505371,11.93065071105957,21.90238380432129,32.12819290161133,31.899999618530273,13.970000267028809,14.684667587280273,27.44745445251465,98.4800033569336,37.809654235839844,90.20999908447266,24.618751525878906,13.630000114440918,35.857757568359375,31.094772338867188,20.65690040588379,,7.356799602508545,,19.425457000732422,15.119999885559082,34.602142333984375,,69.7699966430664,19.211990356445312,24.469999313354492,52.704627990722656,23.6004638671875,2.9614601135253906,40.029998779296875,,29.350000381469727,39.14078140258789,39.47999954223633,11.675000190734863,17.100000381469727,47.18000030517578,
2013-01-04,16.328323364257812,22.33906364440918,259.1499938964844,28.760000228881836,367.60711669921875,6.880000114440918,12.161293983459473,369.3543395996094,,38.130001068115234,16.3302059173584,13.71142864227295,16.535600662231445,15.791974067687988,54.23884963989258,25.88237190246582,16.1235294342041,25.368011474609375,84.7840576171875,49.19272232055664,72.00627136230469,77.5999984741211,57.28511047363281,24.10304069519043,10.24406909942627,2.5899999141693115,166.75999450683594,6.960000038146973,,34.024024963378906,,648.4099731445312,22.64516258239746,31.18617057800293,42.743072509765625,81.00548553466797,10.398765563964844,5.982114791870117,20.174999237060547,54.7599983215332,,36.36000061035156,34.68074035644531,181.07000732421875,26.358314514160156,59.42096710205078,,47.439998626708984,104.6500015258789,45.849998474121094,145.92999267578125,6.0015740394592285,,31.60206413269043,29.309999465942383,17.296667098999023,,21.43992805480957,6.90181303024292,71.94999694824219,30.006771087646484,52.189998626708984,35.53615188598633,26.81487274169922,12.04613208770752,22.05539894104004,32.07661819458008,31.649999618530273,14.170000076293945,14.824143409729004,27.291311264038086,97.62000274658203,38.17717361450195,91.6500015258789,24.827119827270508,13.430000305175781,35.7721061706543,30.65799903869629,20.73256492614746,,7.46167516708374,,18.93734359741211,15.239999771118164,34.953182220458984,,70.5,19.236011505126953,24.969999313354492,52.61610794067383,23.16515350341797,2.980689525604248,40.040000915527344,,29.68000030517578,39.560447692871094,39.619998931884766,11.795000076293945,17.280000686645508,46.84000015258789,
2013-01-07,16.232280731201172,22.29729652404785,268.4599914550781,29.420000076293945,366.0031433105469,6.868000030517578,11.809866905212402,367.74273681640625,,37.939998626708984,16.25728988647461,14.171428680419922,16.605937957763672,15.645469665527344,54.23104476928711,25.739025115966797,15.841825485229492,25.4477481842041,84.12841033935547,49.58781051635742,71.6421127319336,77.4000015258789,57.349544525146484,24.11602783203125,10.122632026672363,2.6700000762939453,167.3333282470703,7.179999828338623,,33.57716751098633,,657.3800048828125,22.57741355895996,31.663930892944336,42.576839447021484,80.83916473388672,10.408074378967285,5.8449883460998535,20.302499771118164,50.900001525878906,,36.09000015258789,34.78678894042969,182.52999877929688,26.16549301147461,58.456787109375,,47.720001220703125,102.29000091552734,47.290000915527344,146.4199981689453,5.943764686584473,,31.37625503540039,28.940000534057617,16.68666648864746,,21.736465454101562,6.919487476348877,71.0999984741211,30.692790985107422,52.16999816894531,35.33686065673828,26.639036178588867,11.812601089477539,21.763948440551758,31.94405746459961,31.420000076293945,14.399999618530273,14.395756721496582,27.25844383239746,97.30999755859375,38.096500396728516,90.05000305175781,24.711360931396484,13.40999984741211,35.929134368896484,30.531997680664062,20.51313591003418,,7.396342754364014,,19.217557907104492,15.414999961853027,34.572288513183594,,70.48999786376953,19.14792251586914,26.18000030517578,52.380069732666016,23.273975372314453,2.9614601135253906,40.060001373291016,,29.360000610351562,40.512001037597656,39.959999084472656,11.850000381469727,17.889999389648438,47.20000076293945,
2013-01-08,16.275964736938477,22.180330276489258,266.3800048828125,29.059999465942383,365.28082275390625,6.736000061035156,11.550919532775879,367.01702880859375,,38.13999938964844,16.36881446838379,13.880000114440918,16.48090171813965,15.660890579223633,54.39502716064453,25.56381607055664,15.460692405700684,25.15276336669922,83.97074127197266,49.51032638549805,71.33460235595703,77.19999694824219,56.887969970703125,24.072744369506836,9.983847618103027,2.6700000762939453,168.14332580566406,7.230000019073486,,33.04985809326172,,657.4199829101562,22.59435272216797,31.87808609008789,42.82257080078125,81.63167572021484,10.231193542480469,5.85927152633667,20.399999618530273,52.38999938964844,,36.29999923706055,34.42789077758789,176.6300048828125,25.596677780151367,57.97928237915039,,48.005001068115234,101.08999633789062,48.5,144.38999938964844,5.962161540985107,,30.56329345703125,28.25,16.90999984741211,,21.399309158325195,6.990185260772705,71.62999725341797,30.80577278137207,51.869998931884766,35.23722457885742,26.291994094848633,11.6663236618042,21.574499130249023,31.782011032104492,31.459999084472656,14.479999542236328,13.718310356140137,26.773590087890625,97.48999786376953,38.20406723022461,89.19999694824219,24.657333374023438,13.680000305175781,35.44855880737305,29.91044044494629,20.550966262817383,,7.30694055557251,,18.449220657348633,15.220000267028809,34.27353286743164,,71.08000183105469,19.04381561279297,26.510000228881836,53.00950241088867,23.00189781188965,3.019150972366333,39.88999938964844,,28.8799991607666,39.98011016845703,39.0099983215332,11.680000305175781,18.799999237060547,48.220001220703125,
2013-01-09,16.02158546447754,22.305646896362305,266.3500061035156,30.59000015258789,367.68182373046875,6.728000164031982,11.291967391967773,369.429443359375,,38.65999984741211,16.480335235595703,13.70142936706543,16.762222290039062,15.653175354003906,54.668331146240234,26.129243850708008,15.560118675231934,25.511518478393555,84.0122299194336,50.26178741455078,71.7553939819336,78.5999984741211,57.38648223876953,23.644264221191406,10.131305694580078,2.630000114440918,168.91000366210938,7.309999942779541,,33.32691955566406,,651.5900268554688,22.90769386291504,32.071685791015625,42.71415710449219,84.63552856445312,10.184645652770996,5.8678436279296875,20.709999084472656,52.529998779296875,,36.66999816894531,34.33818054199219,183.39999389648438,25.94375228881836,58.309871673583984,,48.56999969482422,104.33999633789062,48.25,144.0800018310547,6.0042033195495605,,30.866540908813477,27.299999237060547,16.77666664123535,,21.431804656982422,7.22878885269165,71.04000091552734,31.031753540039062,52.75,35.23722457885742,26.329015731811523,11.671455383300781,21.304914474487305,31.78937530517578,31.43000030517578,14.600000381469727,13.648571968078613,27.069425582885742,100.30999755859375,38.293701171875,88.38999938964844,24.665054321289062,13.779999732971191,35.40573501586914,30.1456241607666,20.581235885620117,,7.291468143463135,,18.9915771484375,15.430000305175781,34.079349517822266,,72.12999725341797,19.039806365966797,27.15999984741211,53.058677673339844,23.211788177490234,2.999920129776001,39.560001373291016,,29.739999771118164,39.67268371582031,38.18000030517578,11.78499984741211,19.309999465942383,48.88999938964844,
2013-01-10,16.22020149230957,22.105148315429688,265.3399963378906,31.299999237060547,369.3555603027344,6.705999851226807,11.310462951660156,371.1111145019531,,38.619998931884766,16.514657974243164,14.0,17.035730361938477,15.761130332946777,55.29301071166992,26.69468116760254,16.1235294342041,25.854333877563477,83.60557556152344,50.184303283691406,71.0594711303711,79.0,57.617286682128906,23.60531234741211,10.09660816192627,2.619999885559082,169.6233367919922,7.420000076293945,,33.8274040222168,,653.6199951171875,23.127880096435547,32.100502014160156,42.87316131591797,84.4300308227539,10.175338745117188,5.8678436279296875,20.799999237060547,53.63999938964844,,36.52000045776367,34.754146575927734,183.77000427246094,27.29348373413086,59.38424301147461,,48.630001068115234,110.56999969482422,46.79999923706055,143.91000366210938,6.012086391448975,,31.350444793701172,26.889999389648438,16.253332138061523,,21.529293060302734,7.493902683258057,70.58000183105469,31.128597259521484,53.20000076293945,35.34592819213867,26.51409912109375,11.078644752502441,21.31948471069336,32.07661819458008,31.469999313354492,14.930000305175781,13.947446823120117,27.57071876525879,102.56999969482422,38.26681137084961,87.73999786376953,24.58016014099121,13.84000015258789,35.710262298583984,30.238014221191406,20.581235885620117,,7.606094837188721,,19.27179527282715,15.520000457763672,34.3631477355957,,72.26000213623047,18.619373321533203,27.18000030517578,52.97999572753906,23.040771484375,3.009535074234009,38.869998931884766,,29.770000457763672,40.116737365722656,38.13999938964844,11.970000267028809,18.959999084472656,49.290000915527344,
2013-01-11,16.120737075805664,22.41425323486328,267.94000244140625,31.719999313354492,368.61334228515625,6.581999778747559,11.291967391967773,370.3653564453125,,38.09000015258789,16.497501373291016,14.470000267028809,17.192026138305664,15.791974067687988,55.34767532348633,27.347713470458984,15.808682441711426,25.846355438232422,83.22380828857422,50.277278900146484,70.37161254882812,78.38999938964844,57.8111572265625,23.808725357055664,10.157326698303223,2.6700000762939453,168.6666717529297,7.539999961853027,,34.35470199584961,,655.489990234375,23.22103500366211,32.15815353393555,42.94544219970703,84.69419860839844,10.724597930908203,5.8678436279296875,20.7450008392334,52.68000030517578,,36.79999923706055,34.46867370605469,179.4600067138672,26.99461555480957,60.07294464111328,,48.54999923706055,112.97000122070312,47.310001373291016,143.7899932861328,5.922745227813721,,31.73757553100586,25.8700008392334,16.97333335876465,,21.81364631652832,7.617620944976807,70.83999633789062,31.556333541870117,52.790000915527344,35.21910858154297,26.176313400268555,11.135102272033691,21.341341018676758,31.848295211791992,31.809999465942383,14.819999694824219,14.186545372009277,27.60358238220215,100.38999938964844,38.168209075927734,88.01000213623047,24.52613639831543,13.9399995803833,37.337562561035156,30.070024490356445,20.558534622192383,,7.843567371368408,,19.316987991333008,15.835000038146973,34.37810134887695,,72.83000183105469,18.619373321533203,26.8700008392334,53.00950241088867,23.0174503326416,3.038381338119507,38.0,,32.27000045776367,39.828834533691406,38.119998931884766,12.140000343322754,18.200000762939453,48.459999084472656,
2013-01-14,15.545990943908691,22.464380264282227,272.7300109863281,30.950000762939453,360.27459716796875,6.6519999504089355,11.282720565795898,361.98699951171875,,38.15999984741211,16.694814682006836,14.778571128845215,17.192026138305664,16.169811248779297,55.667842864990234,27.53087615966797,15.758970260620117,25.78258514404297,83.29851531982422,49.76597595214844,70.33924102783203,78.18000030517578,57.866546630859375,23.661577224731445,10.192023277282715,2.640000104904175,170.9066619873047,7.599999904632568,,34.158084869384766,,662.9199829101562,23.27184295654297,32.03047561645508,42.93821334838867,85.0855941772461,10.70598030090332,5.899267196655273,20.725000381469727,52.619998931884766,,36.83000183105469,34.45236587524414,179.39999389648438,27.35133171081543,59.13631057739258,,47.97999954223633,112.63999938964844,47.34000015258789,143.8800048828125,5.93719482421875,,31.563358306884766,26.639999389648438,16.92333221435547,,21.6024112701416,7.723668575286865,72.30000305175781,31.50792121887207,51.2599983215332,35.08323287963867,26.028242111206055,11.155631065368652,21.436065673828125,31.848295211791992,32.5099983215332,14.640000343322754,14.375832557678223,27.209136962890625,99.3499984741211,37.87239456176758,88.55000305175781,24.904294967651367,14.020000457763672,37.32804489135742,30.1036319732666,20.490434646606445,,7.780240535736084,,18.9915771484375,15.9399995803833,34.497589111328125,,72.95999908447266,18.607364654541016,27.639999389648438,53.52090835571289,22.659866333007812,3.02876615524292,38.380001068115234,,31.299999237060547,40.092342376708984,38.040000915527344,12.145000457763672,19.219999313354492,48.150001525878906,
2013-01-15,15.055521011352539,22.73171043395996,271.8999938964844,30.100000381469727,361.1114807128906,6.78000020980835,11.079262733459473,362.82781982421875,,38.150001525878906,16.814924240112305,14.527142524719238,17.098251342773438,16.177520751953125,55.909889221191406,26.973407745361328,15.87496566772461,25.7347469329834,83.94581604003906,49.92091751098633,68.85025024414062,78.31999969482422,58.11582565307617,23.579345703125,10.209370613098145,2.680000066757202,167.8633270263672,7.599999904632568,,34.0329704284668,,663.3499755859375,23.466623306274414,31.86161994934082,42.743072509765625,85.34979248046875,10.771147727966309,5.936406135559082,20.11750030517578,51.619998931884766,,36.709999084472656,34.27292251586914,174.83999633789062,27.274208068847656,57.92420196533203,,47.474998474121094,111.66000366210938,47.08000183105469,143.00999450683594,5.949019908905029,,31.22140884399414,26.34000015258789,17.016666412353516,,21.33025360107422,7.6529693603515625,69.47000122070312,31.71776580810547,51.040000915527344,35.472747802734375,26.838010787963867,10.963162422180176,21.676513671875,31.78937530517578,32.54999923706055,14.600000381469727,14.555156707763672,27.135169982910156,98.22000122070312,37.935142517089844,89.72000122070312,24.757665634155273,13.890000343322754,37.19005584716797,30.002838134765625,20.467741012573242,,7.674698352813721,,18.530569076538086,15.90999984741211,34.43038558959961,,73.05999755859375,18.83559799194336,29.360000610351562,54.12083053588867,22.799789428710938,3.019150972366333,39.36000061035156,,33.459999084472656,39.3798942565918,38.599998474121094,12.28499984741211,19.540000915527344,48.290000915527344,
