Date,BTC-USD,LTC-USD,DOGE-USD,ETH-USD
2016-01-01,434.3340148925781,3.5089800357818604,0.0001539999939268455,0.9480239748954773
2016-01-02,433.43798828125,3.50216007232666,0.00015100000018719584,0.9371240139007568
2016-01-03,430.010986328125,3.483069896697998,0.00014600000577047467,0.971904993057251
2016-01-04,433.09100341796875,3.495389938354492,0.00014400000509340316,0.954479992389679
2016-01-05,431.9599914550781,3.469670057296753,0.00013699999544769526,0.9501760005950928
2016-01-06,429.1050109863281,3.4535601139068604,0.00013499999477062374,0.9508600234985352
2016-01-07,458.0480041503906,3.604140043258667,0.00013899999612476677,0.9420049786567688
2016-01-08,453.2300109863281,3.568880081176758,0.00015799999528098851,0.9867889881134033
2016-01-09,447.6109924316406,3.560570001602173,0.00018000000272877514,0.9868329763412476
2016-01-10,447.9909973144531,3.536720037460327,0.00016700000560376793,0.9992309808731079
2016-01-11,448.4280090332031,3.556619882583618,0.00017100000695791095,1.0615999698638916
2016-01-12,435.69000244140625,3.493680000305176,0.00018000000272877514,1.1410000324249268
2016-01-13,432.3710021972656,3.476020097732544,0.00017699999443721026,1.1252000331878662
2016-01-14,430.3059997558594,3.4659900665283203,0.00017499999376013875,1.1895899772644043
2016-01-15,364.33099365234375,2.9967799186706543,0.00014899999951012433,1.208009958267212
2016-01-16,387.5360107421875,3.086940050125122,0.00015500000154133886,1.220289945602417
2016-01-17,382.29901123046875,3.0261900424957275,0.00015199999324977398,1.3274699449539185
2016-01-18,387.1679992675781,3.048959970474243,0.00015100000018719584,1.4263399839401245
2016-01-19,380.14898681640625,3.0174400806427,0.00014800000644754618,1.3713899850845337
2016-01-20,420.2300109863281,3.3885300159454346,0.00016799999866634607,1.5318200588226318
2016-01-21,410.2619934082031,3.2207798957824707,0.0001630000042496249,1.553570032119751
2016-01-22,382.49200439453125,3.0765700340270996,0.00016799999866634607,1.501270055770874
2016-01-23,387.4909973144531,3.103480100631714,0.0001720000000204891,1.9726699590682983
2016-01-24,402.97100830078125,3.180999994277954,0.00019299999985378236,2.141200065612793
2016-01-25,391.72601318359375,3.1272799968719482,0.0002119999990100041,2.499269962310791
2016-01-26,392.15301513671875,3.154819965362549,0.00035600000410340726,2.276370048522949
2016-01-27,394.97198486328125,3.287450075149536,0.000455000001238659,2.388550043106079
2016-01-28,380.28900146484375,3.1201601028442383,0.0003440000000409782,2.5264899730682373
2016-01-29,379.4739990234375,3.111380100250244,0.00031599999056197703,2.494960069656372
2016-01-30,378.2550048828125,3.0808000564575195,0.0002579999854788184,2.4450600147247314
2016-01-31,368.7669982910156,3.0521600246429443,0.0002770000137388706,2.306040048599243
2016-02-01,373.0559997558594,3.077239990234375,0.0002699999895412475,2.2116899490356445
2016-02-02,374.447998046875,3.0758700370788574,0.00026199998683296144,2.4396400451660156
2016-02-03,369.9490051269531,3.047529935836792,0.00026500000967644155,2.5286900997161865
2016-02-04,389.593994140625,3.1627700328826904,0.00028700000257231295,2.5780398845672607
2016-02-05,386.54901123046875,3.1374099254608154,0.00030499999411404133,2.538990020751953
2016-02-06,376.5220031738281,3.0989999771118164,0.0003060000017285347,2.5344600677490234
2016-02-07,376.6199951171875,3.0859599113464355,0.0002849999873433262,2.9643399715423584
2016-02-08,373.4469909667969,3.062160015106201,0.00028700000257231295,3.1797900199890137
2016-02-09,376.02899169921875,3.081549882888794,0.00029200001154094934,4.044640064239502
2016-02-10,381.64898681640625,3.095249891281128,0.00029799999902024865,4.436260223388672
2016-02-11,379.65399169921875,3.07561993598938,0.0002899999963119626,6.0131001472473145
2016-02-12,384.26300048828125,3.111870050430298,0.0003009999927598983,5.546979904174805
2016-02-13,391.8599853515625,3.129689931869507,0.000295000005280599,5.38532018661499
2016-02-14,407.2300109863281,3.21058988571167,0.0003009999927598983,5.239729881286621
2016-02-15,400.18499755859375,3.1825098991394043,0.00029799999902024865,5.2883501052856445
2016-02-16,407.4880065917969,3.209009885787964,0.00029200001154094934,4.3152899742126465
2016-02-17,416.3219909667969,3.241029977798462,0.00027799999224953353,3.757240056991577
2016-02-18,422.37298583984375,3.251430034637451,0.00027799999224953353,4.399129867553711
2016-02-19,420.7850036621094,3.2527899742126465,0.0002969999914057553,4.737889766693115
2016-02-20,437.16400146484375,3.4579899311065674,0.000291000003926456,4.341330051422119
2016-02-21,438.7980041503906,3.4642701148986816,0.0002849999873433262,4.653619766235352
2016-02-22,437.74798583984375,3.4836299419403076,0.00028300000121816993,5.616499900817871
2016-02-23,420.7359924316406,3.396929979324341,0.0002800000074785203,5.586209774017334
2016-02-24,424.9549865722656,3.3748700618743896,0.00027799999224953353,6.2364702224731445
2016-02-25,424.54400634765625,3.3655200004577637,0.0002690000110305846,6.104800224304199
2016-02-26,432.1520080566406,3.416790008544922,0.0002589999930933118,5.921669960021973
2016-02-27,432.5190124511719,3.4128799438476562,0.00025499999173916876,6.4258599281311035
2016-02-28,433.5039978027344,3.4418599605560303,0.00025400001322850585,6.468349933624268
2016-02-29,437.6969909667969,3.4461100101470947,0.0002500000118743628,6.336989879608154
2016-03-01,435.12298583984375,3.4329700469970703,0.00024900000425986946,7.653689861297607
2016-03-02,423.989013671875,3.3650200366973877,0.00024399999529123306,8.4653902053833
2016-03-03,421.6510009765625,3.3235299587249756,0.00024500000290572643,9.294150352478027
2016-03-04,410.9389953613281,3.250230073928833,0.00023799999326001853,10.406000137329102
2016-03-05,400.57000732421875,3.19215989112854,0.00022400000307243317,11.003700256347656
2016-03-06,407.7070007324219,3.2216498851776123,0.0002209999947808683,11.38290023803711
