Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-08-31,621.060489897906,633.7851335049553,619.3475571046494,631.9253540039062,5580682,0.0,0.0
2016-09-01,630.3593060905832,631.3381248888605,624.192759609908,628.2548217773438,2612338,0.0,0.0
2016-09-02,629.1357781481503,630.8487110330344,627.0068592254088,628.9400024414062,1977594,0.0,0.0
2016-09-06,631.3626638603089,638.1409725687819,631.3626638603089,636.4280395507812,2754442,0.0,0.0
2016-09-07,636.7216426893093,638.679280330168,627.9612022979944,629.74755859375,2008222,0.0,0.0
2016-09-08,631.3381283215143,633.9075276809624,628.205896201525,631.0444946289062,1452690,0.0,0.0
2016-09-09,631.3382208441487,633.5405634750005,625.6121539008814,631.5339965820312,2006884,0.0,0.0
2016-09-12,623.8500551449924,628.5973615377525,622.283969170642,626.39501953125,1992864,0.0,0.0
2016-09-14,623.9969465833101,624.9757653230486,619.298628581036,621.2807006835938,1924754,0.0,0.0
2016-09-15,622.5287306452107,628.3527142089948,621.4764885309477,626.2482299804688,1750906,0.0,0.0
2016-09-16,628.3038262906075,638.4345772102619,628.3038262906075,635.1799926757812,3262908,0.0,0.0
2016-09-19,634.7640025569337,637.455754302549,630.3593178822904,631.4115600585938,2947416,0.0,0.0
2016-09-20,632.6350841707647,633.7851843328582,628.4261752039758,630.5795288085938,1889124,0.0,0.0
2016-09-21,632.3169260637205,635.25338237671,630.3103595316492,632.8063354492188,2128200,0.0,0.0
2016-09-22,638.67930203505,644.5277207889244,636.5014539825265,639.6091918945312,3277900,0.0,0.0
2016-09-23,639.1931681682122,645.2617969096526,636.9663315103223,642.4476928710938,2438404,0.0,0.0
2016-09-26,639.2176222222114,640.5879924752368,633.1489335539503,634.3480224609375,2788386,0.0,0.0
2016-09-27,635.742808097633,639.242097242331,633.7117471471558,635.2778930664062,2028406,0.0,0.0
2016-09-28,636.1832974196872,636.2322264117087,630.8487229574557,633.9075317382812,2494826,0.0,0.0
2016-09-29,635.2289185369901,639.1686881765228,620.5466362664728,625.2205200195312,8225006,0.0,0.0
2016-09-30,625.0247532015152,626.9334618723152,620.2775057634387,622.9447631835938,2069214,0.0,0.0
2016-10-03,626.9334589694087,631.2892146999476,624.6821876147899,629.9677734375,1950274,0.0,0.0
2016-10-04,630.6529451433252,633.785177272914,627.5697017479532,631.117919921875,1387756,0.0,0.0
2016-10-05,635.2533658082197,636.2566789192656,624.6821353056448,629.4293823242188,1823510,0.0,0.0
2016-10-06,629.9187856234348,634.078765251561,625.979076056328,627.3983154296875,1447856,0.0,0.0
2016-10-07,628.4016136235275,630.2368987100449,624.6086911113917,626.7376098632812,1668732,0.0,0.0
2016-10-10,628.8910650631404,630.310364240159,625.8322563809267,628.5729370117188,2359656,0.0,0.0
2016-10-13,625.954611594548,625.954611594548,614.9184059216419,618.001708984375,2259678,0.0,0.0
2016-10-14,619.4699474303417,620.5711185792402,613.719386986094,617.5368041992188,2033558,0.0,0.0
2016-10-17,619.3475475178707,619.7880278920752,603.3193909147808,605.741943359375,2567680,0.0,0.0
2016-10-18,608.4337172949689,616.6558187755859,606.3782217959928,615.6035766601562,1305484,0.0,0.0
2016-10-19,617.1941423642777,618.1240321124427,610.7828915885419,615.8482666015625,1522452,0.0,0.0
2016-10-20,616.7781245551799,620.3018479280646,612.2510881321405,614.4534301757812,1600178,0.0,0.0
2016-10-21,614.698222616987,622.9936882688949,611.7617661395172,621.8925170898438,1978204,0.0,0.0
2016-10-24,622.406505416094,624.9024818125168,617.1698478835526,618.3933715820312,1627832,0.0,0.0
2016-10-25,620.5710914313732,620.5710914313732,608.8497607228097,611.9085693359375,2750898,0.0,0.0
2016-10-26,608.5070964134787,619.1028206682475,604.445034700355,606.5250244140625,2683270,0.0,0.0
2016-10-27,606.3782386387401,615.1876077230801,599.1105210926311,612.7894897460938,5811930,0.0,0.0
2016-10-28,613.9640813415527,617.5857227853829,606.9165741588698,616.19091796875,2660268,0.0,0.0
2016-11-01,614.6982037893926,618.5400556146046,610.3180135749384,616.5579833984375,1701208,0.0,0.0
2016-11-02,612.3000549421209,614.5513261106644,607.6017369072575,609.8775024414062,3237216,0.0,0.0
2016-11-03,609.3147263521893,616.655867633541,602.830051553662,614.184326171875,3157906,0.0,0.0
2016-11-04,613.1321402764703,613.1321402764703,607.7241423325962,608.678466796875,2867460,0.0,0.0
2016-11-07,612.7405715835504,614.135376431415,606.8676587568709,611.4925537109375,2835696,0.0,0.0
